country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
Timor-Leste,1965,NA,41.29,6.31,547035,NA,Asia,South-Eastern Asia
Togo,1965,147.7,44.43,6.79,1708632,449276599.6,Africa,Western Africa
Tonga,1965,53.8,62.94,6.97,74363,NA,Oceania,Polynesia
Trinidad and Tobago,1965,48.8,65.17,4.43,912419,3770236777,Americas,Caribbean
Tunisia,1965,155.7,47.31,7.06,4545340,3737795915,Africa,Northern Africa
Turkey,1965,144.1,50.96,5.95,31000167,56287179430,Asia,Western Asia
Turkmenistan,1965,NA,57.17,6.62,1890000,NA,Asia,Central Asia
Uganda,1965,120.9,48.49,7.09,8014376,NA,Africa,Eastern Africa
Ukraine,1965,NA,71.4,2.03,45261939,NA,Europe,Eastern Europe
United Arab Emirates,1965,104.4,56.87,6.84,150318,NA,Asia,Western Asia
United Kingdom,1965,20.1,71.52,2.76,54278349,614919984602,Europe,Northern Europe
United States,1965,23.3,70.41,2.93,199403532,3162742602840,Americas,Northern America
Uruguay,1965,52.1,68.74,2.84,2694535,11102859567,Americas,South America
Uzbekistan,1965,NA,61.59,6.75,10233502,NA,Asia,Central Asia
Vanuatu,1965,92.8,48.87,6.73,74287,NA,Oceania,Melanesia
Venezuela,1965,53.1,63.09,6.37,9824694,55387357767,Americas,South America
West Bank and Gaza,1965,NA,54.2,8.06,1191509,NA,Asia,Western Asia
Vietnam,1965,60.7,61.32,6.48,37860014,NA,Asia,South-Eastern Asia
Yemen,1965,263.6,37.27,7.42,5619170,NA,Asia,Western Asia
Zambia,1965,114,50.96,7.29,3559687,2214800544,Africa,Eastern Africa
Zimbabwe,1965,80.5,55.25,7.37,4422132,1735211094,Africa,Eastern Africa
Albania,1966,90.2,66.88,5.48,1947786,NA,Europe,Southern Europe
Algeria,1966,149.3,50.58,7.66,12980269,13790556982,Africa,Northern Africa
Angola,1966,NA,39.28,7.42,5863568,NA,Africa,Middle Africa
Antigua and Barbuda,1966,NA,65.63,4.13,60818,NA,Americas,Caribbean
Argentina,1966,58.89,66.08,3.05,22608747,129699051637,Americas,South America
Armenia,1966,NA,69.74,3.79,2269475,NA,Asia,Western Asia
Aruba,1966,NA,67.76,3.63,57712,NA,Americas,Caribbean
Australia,1966,18.3,70.79,2.89,11657281,123723654026,Oceania,Australia and New Zealand
Austria,1966,27.3,70.22,2.66,7345865,68573389646,Europe,Western Europe
Azerbaijan,1966,NA,63.91,5.21,4708485,NA,Asia,Western Asia
Bahamas,1966,NA,63.65,3.89,146364,2348728284,Americas,Caribbean
Bahrain,1966,81.3,59.23,7.1,191782,NA,Asia,Western Asia
Bangladesh,1966,155,48.63,6.9,57675529,16435426595,Asia,Southern Asia
Barbados,1966,49.2,64.64,3.81,236043,1063887746,Americas,Caribbean
Belarus,1966,NA,73.05,2.48,8695433,NA,Europe,Eastern Europe
Belgium,1966,23.3,70.58,2.5,9493656,89864126386,Europe,Western Europe
Belize,1966,NA,63.53,6.38,109344,115347208,Americas,Central America
Benin,1966,166.8,41.5,6.59,2681382,754460310.4,Africa,Western Africa
Bhutan,1966,NA,39.28,6.67,259270,NA,Asia,Southern Asia
Bolivia,1966,156.5,45.99,6.59,4152665,4058226603,Americas,South America
Bosnia and Herzegovina,1966,NA,66.81,3.37,3574972,NA,Europe,Southern Europe
Botswana,1966,97,52.36,6.7,612950,179761624.1,Africa,Southern Africa
Brazil,1966,112.1,58.07,5.66,86494987,136947905157,Americas,South America
Brunei,1966,NA,65.67,5.92,107450,NA,Asia,South-Eastern Asia
Bulgaria,1966,39,71.28,2.15,8269118,NA,Europe,Eastern Europe
Burkina Faso,1966,151.8,38.3,6.49,5256363,694033153,Africa,Western Africa
Burundi,1966,144.5,42.18,7.22,3153879,386256700.6,Africa,Eastern Africa
Cambodia,1966,NA,43.73,6.82,6588993,NA,Asia,South-Eastern Asia
Cameroon,1966,148.1,46.67,6.01,6130990,3291236402,Africa,Middle Africa
Canada,1966,22.1,71.86,2.81,20041006,236659979328,Americas,Northern America
Cape Verde,1966,NA,51.32,6.99,239765,NA,Africa,Western Africa
Central African Republic,1966,148.6,40.5,5.95,1682874,556732800.3,Africa,Middle Africa
Chad,1966,NA,43.48,6.36,3373563,759494430.6,Africa,Middle Africa
Chile,1966,87.4,59.54,4.8,8802926,18555706498,Americas,South America
China,1966,NA,55.37,6.21,724490033,79279858808,Asia,Eastern Asia
Colombia,1966,79,61.16,6.42,19721464,25128529190,Americas,South America
Comoros,1966,NA,46.63,7.03,209536,NA,Africa,Eastern Africa
"Congo, Dem. Rep.",1966,NA,46.2,6.11,17861860,5971780635,Africa,Middle Africa
"Congo, Rep.",1966,97.3,51.45,6.14,1190361,747391523.7,Africa,Middle Africa
Costa Rica,1966,66.3,65.33,6.33,1642189,3321721143,Americas,Central America
Cote d'Ivoire,1966,178.7,42.21,7.76,4400054,3245769317,Africa,Western Africa
Croatia,1966,NA,67.16,2.14,4350815,NA,Europe,Southern Europe
Cuba,1966,39.2,67.6,4.54,8110428,NA,Americas,Caribbean
Cyprus,1966,NA,71.62,3.01,585311,NA,Asia,Western Asia
Czech Republic,1966,NA,70.65,2.03,9811540,NA,Europe,Eastern Europe
Denmark,1966,17,72.57,2.62,4796157,69265775692,Europe,Northern Europe
Djibouti,1966,NA,48.9,6.67,122868,NA,Africa,Eastern Africa
Dominican Republic,1966,92.8,58.02,6.9,4001377,3898053873,Americas,Caribbean
Ecuador,1966,104.6,57.47,6.49,5405692,4463233149,Americas,South America
Egypt,1966,173.6,51.29,6.33,31660914,17439059545,Africa,Northern Africa
El Salvador,1966,113.6,55.93,6.57,3290397,5995943686,Americas,Central America
Equatorial Guinea,1966,NA,39.78,5.62,275470,NA,Africa,Middle Africa
Eritrea,1966,NA,41.22,6.73,1629333,NA,Africa,Eastern Africa
Estonia,1966,NA,70.78,1.99,1305025,NA,Europe,Northern Europe
Ethiopia,1966,143.1,39.09,6.87,25641176,NA,Africa,Eastern Africa
Fiji,1966,45.3,58.14,5.28,476329,508775824.3,Oceania,Melanesia
Finland,1966,15.8,69.68,2.41,4577033,42022327347,Europe,Northern Europe
France,1966,17.7,71.67,2.73,49411342,486982368985,Europe,Western Europe
French Polynesia,1966,NA,58.65,5.27,96730,882775676.8,Oceania,Polynesia
Gabon,1966,NA,42.21,4.83,542562,1374110052,Africa,Middle Africa
Gambia,1966,134.9,39.47,5.88,408182,207683716,Africa,Western Africa
Georgia,1966,NA,65.9,2.74,4529961,3625947639,Asia,Western Asia
Germany,1966,NA,70.77,2.44,76558016,NA,Europe,Western Europe
Ghana,1966,120.7,48.8,6.94,7890992,2118851899,Africa,Western Africa
Greece,1966,41.2,70.12,2.32,8580600,44053976946,Europe,Southern Europe
Greenland,1966,NA,63.71,7,39616,NA,Americas,Northern America
Grenada,1966,NA,63.16,5.3,94878,NA,Americas,Caribbean
Guatemala,1966,129.9,50.43,6.36,4858880,5436691407,Americas,Central America
Guinea,1966,202.6,36.96,6.14,3948206,NA,Africa,Western Africa
Guinea-Bissau,1966,NA,44.63,5.05,662597,NA,Africa,Western Africa
Guyana,1966,57.3,60.09,5.23,662332,464137796.3,Americas,South America
Haiti,1966,176,45.43,6.11,4357482,NA,Americas,Caribbean
Honduras,1966,116.7,52.02,7.44,2420234,2030026643,Americas,Central America
"Hong Kong, China",1966,NA,70.37,4.25,3868497,18666560243,Asia,Eastern Asia
Hungary,1966,43.2,69.98,1.92,10204575,19718560040,Europe,Eastern Europe
Iceland,1966,15,73.4,3.46,194935,2718687031,Europe,Northern Europe
India,1966,151,45.73,5.75,508402908,95894683921,Asia,Southern Asia
Indonesia,1966,127,44.18,5.6,103067352,20944091970,Asia,South-Eastern Asia
Iran,1966,149.86,49.66,6.77,25624650,26709951060,Asia,Southern Asia
Iraq,1966,97.4,53.51,7.19,8651167,NA,Asia,Western Asia
Ireland,1966,23.3,70.89,3.9,2869311,NA,Europe,Northern Europe
Israel,1966,NA,70.17,3.8,2591594,19645123302,Asia,Western Asia
Italy,1966,34.3,70.99,2.52,52076758,400830529593,Europe,Southern Europe
Jamaica,1966,50.8,69.17,5.82,1786547,4923668568,Americas,Caribbean
Japan,1966,17.5,71.12,2,98494630,1244626392694,Asia,Eastern Asia
Jordan,1966,78.9,58.13,8.05,1210948,NA,Asia,Western Asia
Kazakhstan,1966,NA,61.69,3.92,12200891,NA,Asia,Central Asia
Kenya,1966,99,51.35,8.13,9822505,2851834963,Africa,Eastern Africa
Kiribati,1966,110.1,48.23,7.17,47461,NA,Oceania,Micronesia
South Korea,1966,57.8,57.67,4.99,29006181,43440106074,Asia,Eastern Asia
Kuwait,1966,68,66.58,7.42,533521,NA,Asia,Western Asia
Kyrgyz Republic,1966,NA,58.76,5.19,2655349,NA,Asia,Central Asia
Lao,1966,NA,43.64,5.97,2437527,NA,Asia,South-Eastern Asia
Latvia,1966,NA,71.26,1.81,2284214,3676879789,Europe,Northern Europe
Lebanon,1966,50.5,64.5,5.4,2136640,NA,Asia,Western Asia
Lesotho,1966,140.1,48.95,5.8,951736,161160997.3,Africa,Southern Africa
Liberia,1966,204.6,37.77,6.55,1283304,854869603.7,Africa,Western Africa
Libya,1966,119.8,54.15,7.74,1787080,NA,Africa,Northern Africa
Lithuania,1966,NA,71.92,2.33,3003571,NA,Europe,Northern Europe
Luxembourg,1966,23.4,69.21,2.29,332421,5073218554,Europe,Western Europe
"Macao, China",1966,NA,67.66,3.26,216873,NA,Asia,Eastern Asia
"Macedonia, FYR",1966,NA,64.51,3.27,1617797,NA,Europe,Southern Europe
Madagascar,1966,108.1,45.43,7.3,5918060,2280369952,Africa,Eastern Africa
Malawi,1966,212.3,40.03,7.14,4158132,490775605.2,Africa,Eastern Africa
Malaysia,1966,51.2,63.21,5.49,9844116,9969699383,Asia,South-Eastern Asia
Maldives,1966,199.2,43.48,7.22,105145,NA,Asia,Southern Asia
Mali,1966,206.1,31.8,6.84,5635859,NA,Africa,Western Africa
Malta,1966,29.5,70.36,2.4,305357,NA,Europe,Southern Europe
Mauritania,1966,117.6,47.73,6.8,1021880,541433851.1,Africa,Western Africa
Mauritius,1966,65.5,62.67,5.19,769556,NA,Africa,Eastern Africa
Mexico,1966,86,60.15,6.77,46010959,141836672410,Americas,Central America
"Micronesia, Fed. Sts.",1966,NA,58.99,6.9,54201,NA,Oceania,Micronesia
Moldova,1966,NA,64.48,2.8,3392084,NA,Europe,Eastern Europe
Mongolia,1966,NA,54.16,7.6,1139960,NA,Asia,Eastern Asia
Montenegro,1966,NA,67.62,2.91,533909,NA,Europe,Southern Europe
Morocco,1966,130.4,52.54,7.02,14617077,8817757771,Africa,Northern Africa
Mozambique,1966,185,41.66,6.6,8482373,NA,Africa,Eastern Africa
Namibia,1966,NA,50.61,6.26,700316,NA,Africa,Southern Africa
Nepal,1966,195.9,42.6,6,11100672,1630269783,Asia,Southern Asia
Netherlands,1966,14.2,73.52,2.9,12372136,132002538317,Europe,Western Europe
New Caledonia,1966,NA,60.19,5.23,93682,668221160.9,Oceania,Melanesia
New Zealand,1966,18.3,71.16,3.13,2668590,NA,Oceania,Australia and New Zealand
Nicaragua,1966,125,55.74,6.98,2125233,2675188806,Americas,Central America
Niger,1966,NA,37.61,7.26,4032210,1372702919,Africa,Western Africa
Nigeria,1966,186.8,43.81,6.34,51336375,15322072031,Africa,Western Africa
Norway,1966,15.4,74.11,2.89,3754010,49840122162,Europe,Northern Europe
Oman,1966,187.8,49.97,7.28,642005,724068246.5,Asia,Western Asia
Pakistan,1966,155.7,51.7,6.6,52194629,13019314804,Asia,Southern Asia
Panama,1966,57.6,64.7,5.56,1353805,3080540665,Americas,Central America
Papua New Guinea,1966,112.7,43.07,6.24,2208422,1246459544,Oceania,Melanesia
Paraguay,1966,59.6,68.11,6.28,2229373,1576475781,Americas,South America
Peru,1966,114.8,52.38,6.68,11941327,23924687146,Americas,South America
Philippines,1966,59.1,60.91,6.69,31867565,24236853336,Asia,South-Eastern Asia
Poland,1966,37.9,69.99,2.35,31824145,NA,Europe,Eastern Europe
Portugal,1966,63.6,65.67,3.16,8839831,29719818177,Europe,Southern Europe
Puerto Rico,1966,NA,70.03,3.7,2609261,14449829269,Americas,Caribbean
Qatar,1966,NA,65.25,6.99,79735,NA,Asia,Western Asia
Romania,1966,NA,67.98,1.89,19582342,NA,Europe,Eastern Europe
Russia,1966,NA,69.43,2.1,127396324,NA,Europe,Eastern Europe
Rwanda,1966,123,44.85,8.2,3319077,601599820.5,Africa,Eastern Africa
St. Lucia,1966,NA,60.58,6.61,97877,NA,Americas,Caribbean
St. Vincent and the Grenadines,1966,NA,63.06,6.63,86860,113925535.2,Americas,Caribbean
Samoa,1966,NA,54.98,7.46,130687,NA,Oceania,Polynesia
Saudi Arabia,1966,NA,51.68,7.26,5015672,NA,Asia,Western Asia
Senegal,1966,125.3,38.7,7.19,3754268,2127543673,Africa,Western Africa
Serbia,1966,NA,66.56,2.46,7888802,NA,Europe,Southern Europe
Seychelles,1966,64,63.11,5.89,47851,120565081.7,Africa,Eastern Africa
Sierra Leone,1966,204.2,39.38,6.45,2365801,614922087.9,Africa,Western Africa
Singapore,1966,26.4,66.46,4.07,1921099,5820947343,Asia,South-Eastern Asia
Slovak Republic,1966,NA,70.53,2.64,4412907,NA,Europe,Eastern Europe
Slovenia,1966,NA,69.14,2.34,1636660,NA,Europe,Southern Europe
Solomon Islands,1966,98.2,54,6.47,141027,NA,Oceania,Melanesia
South Africa,1966,NA,51.3,5.84,20325230,55715759234,Africa,Southern Africa
Spain,1966,33.9,71.2,2.84,32536637,182786977654,Europe,Southern Europe
Sri Lanka,1966,58.6,62.62,4.85,11385943,3362019679,Asia,Southern Asia
Sudan,1966,98.6,52.42,6.83,9013112,3513241284,Africa,Northern Africa
Suriname,1966,NA,63.07,6.18,341137,NA,Americas,South America
Swaziland,1966,128.9,46.76,6.82,401295,NA,Africa,Southern Africa
Sweden,1966,13,74.09,2.36,7804200,111725727098,Europe,Northern Europe
Switzerland,1966,17.6,72.5,2.47,5916911,NA,Europe,Western Europe
Syria,1966,91.7,56.42,7.57,5579283,2867415756,Asia,Western Asia
Tajikistan,1966,NA,59.9,6.6,2575335,NA,Asia,Central Asia
Tanzania,1966,135.4,47.77,6.8,12038886,NA,Africa,Eastern Africa
Thailand,1966,83.8,58.18,6.08,32789097,13776112396,Asia,South-Eastern Asia
Timor-Leste,1966,NA,42.12,6.27,557252,NA,Asia,South-Eastern Asia
Togo,1966,144.7,45.09,6.85,1774029,491547772.9,Africa,Western Africa
Tonga,1966,50.7,63.27,6.8,76787,NA,Oceania,Polynesia
Trinidad and Tobago,1966,47.7,65.31,4.2,919902,3923188550,Americas,Caribbean
Tunisia,1966,148.4,48.33,6.98,4638271,3866931819,Africa,Northern Africa
Turkey,1966,140.2,51.74,5.87,31718266,62598556529,Asia,Western Asia
Turkmenistan,1966,NA,57.61,6.55,1949425,NA,Asia,Central Asia
Uganda,1966,119,49.07,7.11,8292747,NA,Africa,Eastern Africa
Ukraine,1966,NA,71.66,2.02,45682314,NA,Europe,Eastern Europe
United Arab Emirates,1966,97.5,57.81,6.82,161077,NA,Asia,Western Asia
United Kingdom,1966,19.6,71.43,2.7,54606608,627521608579,Europe,Northern Europe
United States,1966,22.7,70.43,2.71,201629471,3368320872025,Americas,Northern America
Uruguay,1966,51.7,68.78,2.83,2722874,11442924162,Americas,South America
Uzbekistan,1966,NA,62.02,6.71,10559050,NA,Asia,Central Asia
Vanuatu,1966,89.8,49.44,6.63,76410,NA,Oceania,Melanesia
Venezuela,1966,52.2,63.66,6.2,10175143,56223845461,Americas,South America
West Bank and Gaza,1966,NA,54.94,8.05,1184822,NA,Asia,Western Asia
Vietnam,1966,59.9,61.36,6.49,38959335,NA,Asia,South-Eastern Asia
Yemen,1966,256,38.15,7.45,5720538,NA,Asia,Western Asia
Zambia,1966,113.3,51.49,7.34,3674088,2091429299,Africa,Eastern Africa
Zimbabwe,1966,78.3,55.65,7.39,4568320,1761640602,Africa,Eastern Africa
Albania,1967,86.8,67.11,5.38,1998695,NA,Europe,Southern Europe
Algeria,1967,149.2,51.05,7.66,13354197,15094173154,Africa,Northern Africa
Angola,1967,NA,39.84,7.4,5962831,NA,Africa,Middle Africa
Antigua and Barbuda,1967,NA,66.03,4.04,62002,NA,Americas,Caribbean
Argentina,1967,58.73,66.26,3.05,22932201,133839040988,Americas,South America
Armenia,1967,NA,70.22,3.61,2332624,NA,Asia,Western Asia
Aruba,1967,NA,68.1,3.42,58049,NA,Americas,Caribbean
Australia,1967,18.3,71.07,2.85,11975795,131482647086,Oceania,Australia and New Zealand
Austria,1967,26.4,70.1,2.62,7390853,70636109983,Europe,Western Europe
Azerbaijan,1967,NA,64.35,5.06,4832098,NA,Asia,Western Asia
Bahamas,1967,NA,63.91,3.75,152607,2574161953,Americas,Caribbean
Bahrain,1967,74.5,60.29,7,196203,NA,Asia,Western Asia
Bangladesh,1967,153,48.37,6.92,59625294,16127120357,Asia,Southern Asia
Barbados,1967,47.1,65.08,3.64,236620,1177044296,Americas,Caribbean
Belarus,1967,NA,72.78,2.43,8785138,NA,Europe,Eastern Europe
Belgium,1967,22.5,70.86,2.43,9543533,93340202847,Europe,Western Europe
Belize,1967,78.2,64.11,6.36,112699,121014360,Americas,Central America
Benin,1967,164,42.09,6.63,2733450,762596400.4,Africa,Western Africa
Bhutan,1967,NA,39.94,6.67,266293,NA,Asia,Southern Asia
Bolivia,1967,153.6,46.34,6.59,4237126,4338604114,Americas,South America
Bosnia and Herzegovina,1967,NA,67.47,3.24,3619997,NA,Europe,Southern Europe
Botswana,1967,94.1,52.77,6.7,631276,190411714.9,Africa,Southern Africa
Brazil,1967,109.8,58.49,5.49,88853679,143679258550,Americas,South America
Brunei,1967,NA,66.12,5.8,112680,NA,Asia,South-Eastern Asia
Bulgaria,1967,38.4,70.47,2.14,8328838,NA,Europe,Eastern Europe
Burkina Faso,1967,150.9,38.8,6.53,5343020,755269884.2,Africa,Western Africa
Burundi,1967,145.3,42.37,7.25,3235125,439643242.3,Africa,Eastern Africa
Cambodia,1967,NA,44,6.75,6695460,NA,Asia,South-Eastern Asia
Cameroon,1967,143.1,47.22,6.06,6280743,2932094527,Africa,Middle Africa
Canada,1967,21.2,72.07,2.6,20389445,243559352224,Americas,Northern America
Cape Verde,1967,NA,51.75,6.98,248733,NA,Africa,Western Africa
Central African Republic,1967,145.6,41.15,5.95,1718558,582768491.2,Africa,Middle Africa
Chad,1967,NA,43.98,6.39,3436227,765321282.4,Africa,Middle Africa
Chile,1967,79,60.07,4.59,8995410,19231279565,Americas,South America
China,1967,NA,56.9,5.25,744365635,74760906856,Asia,Eastern Asia
Colombia,1967,77.1,61.6,6.25,20311369,26181574241,Americas,South America
Comoros,1967,NA,47.1,7.04,214038,NA,Africa,Eastern Africa
"Congo, Dem. Rep.",1967,NA,46.66,6.14,18378189,5912914485,Africa,Middle Africa
"Congo, Rep.",1967,94.9,51.84,6.17,1224041,763208361.6,Africa,Middle Africa
Costa Rica,1967,64.6,65.85,6,1694711,3509402571,Americas,Central America
Cote d'Ivoire,1967,174.2,42.93,7.81,4591238,3395014717,Africa,Western Africa
Croatia,1967,NA,67.52,2.1,4370856,NA,Europe,Southern Europe
Cuba,1967,39.3,68.2,4.43,8263547,NA,Americas,Caribbean
Cyprus,1967,NA,71.92,2.89,591304,NA,Asia,Western Asia
Czech Republic,1967,NA,70.55,2,9808728,NA,Europe,Eastern Europe
Denmark,1967,16.1,73.06,2.35,4831242,71635777000,Europe,Northern Europe
Djibouti,1967,NA,49.53,6.7,131403,NA,Africa,Eastern Africa
Dominican Republic,1967,91.1,58.75,6.74,4125107,4027763264,Americas,Caribbean
Ecuador,1967,102.4,57.89,6.42,5566057,4775389321,Americas,South America
Egypt,1967,169.9,51.65,6.24,32456565,17548216715,Africa,Northern Africa
El Salvador,1967,111.8,56.41,6.49,3383674,6321933985,Americas,Central America
Equatorial Guinea,1967,NA,40.13,5.64,282445,NA,Africa,Middle Africa
Eritrea,1967,NA,41.66,6.71,1670821,NA,Africa,Eastern Africa
Estonia,1967,NA,71.08,2.01,1319284,NA,Europe,Northern Europe
Ethiopia,1967,142.7,41.09,6.88,26280771,NA,Africa,Eastern Africa
Fiji,1967,44.5,58.52,5.08,487911,576706713.3,Oceania,Melanesia
Finland,1967,15.1,69.86,2.32,4584264,42933719720,Europe,Northern Europe
France,1967,17.1,71.67,2.68,49791771,509812875872,Europe,Western Europe
French Polynesia,1967,NA,59.06,5.22,100031,840939466.6,Oceania,Polynesia
Gabon,1967,NA,43.06,4.9,553829,1430656781,Africa,Middle Africa
Gambia,1967,132.6,40.36,5.94,416342,207683716,Africa,Western Africa
Georgia,1967,NA,66.26,2.68,4577953,3852569346,Asia,Western Asia
Germany,1967,NA,70.99,2.37,77106876,NA,Europe,Western Europe
Ghana,1967,120.6,49.14,6.95,8057442,2184014293,Africa,Western Africa
Greece,1967,39.9,70.34,2.35,8630672,46468768012,Europe,Southern Europe
Greenland,1967,NA,64.08,6.4,41360,NA,Americas,Northern America
Grenada,1967,NA,63.54,5.04,94962,NA,Americas,Caribbean
Guatemala,1967,127.1,51.16,6.32,4993104,5660257704,Americas,Central America
Guinea,1967,200.9,37.16,6.15,4021880,NA,Africa,Western Africa
Guinea-Bissau,1967,NA,44.86,5.09,673893,NA,Africa,Western Africa
Guyana,1967,56.6,60.25,5.19,671986,484158945.8,Americas,South America
Haiti,1967,172.9,45.9,6.03,4445531,NA,Americas,Caribbean
Honduras,1967,113.1,52.68,7.42,2486288,2151372356,Americas,Central America
"Hong Kong, China",1967,NA,70.77,3.96,3901653,19031588145,Asia,Eastern Asia
Hungary,1967,42,69.55,1.95,10238930,21197452043,Europe,Eastern Europe
Iceland,1967,14.4,73.9,3.34,197356,2684234147,Europe,Northern Europe
India,1967,148.9,46.49,5.7,519162069,103399366432,Asia,Southern Asia
Indonesia,1967,123.4,50.54,5.58,105907403,21179712360,Asia,South-Eastern Asia
Iran,1967,191.3,50.3,6.7,26318116,29548432307,Asia,Southern Asia
Iraq,1967,93,54.42,7.3,8947399,NA,Asia,Western Asia
Ireland,1967,21.9,71.95,3.86,2882095,NA,Europe,Northern Europe
Israel,1967,NA,70.39,3.8,2652697,20233498694,Asia,Western Asia
Italy,1967,33.1,71.03,2.52,52444751,429604599956,Europe,Southern Europe
Jamaica,1967,49.3,69.58,5.79,1807640,5012719935,Americas,Caribbean
Japan,1967,16.3,71.41,2.02,99711082,1382557660944,Asia,Eastern Asia
Jordan,1967,75.2,58.9,8.03,1320414,NA,Asia,Western Asia
Kazakhstan,1967,NA,62.12,3.79,12455366,NA,Asia,Central Asia
Kenya,1967,97.1,51.96,8.13,10154489,2947691754,Africa,Eastern Africa
Kiribati,1967,106.5,48.63,7.01,48440,NA,Oceania,Micronesia
South Korea,1967,54,58.54,4.85,29606633,46089969105,Asia,Eastern Asia
Kuwait,1967,63.7,67.2,7.41,585831,NA,Asia,Western Asia
Kyrgyz Republic,1967,NA,59.19,5.11,2735838,NA,Asia,Central Asia
Lao,1967,NA,43.89,5.97,2495093,NA,Asia,South-Eastern Asia
Latvia,1967,NA,70.94,1.82,2305718,4107539685,Europe,Northern Europe
Lebanon,1967,49.8,64.76,5.3,2174850,NA,Asia,Western Asia
Lesotho,1967,138.9,49.09,5.8,970972,178746981.9,Africa,Southern Africa
Liberia,1967,201.7,38.33,6.58,1315119,912537275.3,Africa,Western Africa
Libya,1967,113.3,55.45,7.78,1861661,NA,Africa,Northern Africa
Lithuania,1967,24.1,71.99,2.32,3038216,NA,Europe,Northern Europe
Luxembourg,1967,22.4,69.59,2.22,334231,5084213782,Europe,Western Europe
"Macao, China",1967,NA,68.06,2.94,227258,NA,Asia,Eastern Asia
"Macedonia, FYR",1967,NA,65.08,3.19,1644944,NA,Europe,Southern Europe
Madagascar,1967,105.4,46.01,7.31,6072270,2406441700,Africa,Eastern Africa
Malawi,1967,211.5,40.36,7.18,4262013,526511675.8,Africa,Eastern Africa
Malaysia,1967,49.1,63.7,5.33,10111920,10354245291,Asia,South-Eastern Asia
Maldives,1967,193.1,44.49,7.23,107488,NA,Asia,Southern Asia
Mali,1967,203,32.41,6.86,5706198,941397137,Africa,Western Africa
Malta,1967,28.3,70.67,2.24,304805,NA,Europe,Southern Europe
Mauritania,1967,114.8,48.26,6.8,1052285,560747516.3,Africa,Western Africa
Mauritius,1967,68.4,62.85,4.85,784777,NA,Africa,Eastern Africa
Mexico,1967,84.1,60.53,6.78,47429553,150141103029,Americas,Central America
"Micronesia, Fed. Sts.",1967,NA,59.36,6.91,56324,NA,Oceania,Micronesia
Moldova,1967,NA,64.78,2.72,3444850,NA,Europe,Eastern Europe
Mongolia,1967,NA,54.8,7.59,1173186,NA,Asia,Eastern Asia
Montenegro,1967,NA,68.19,2.83,530234,NA,Europe,Southern Europe
Morocco,1967,127.9,53,6.95,14978905,9702076704,Africa,Northern Africa
Mozambique,1967,184.1,42.21,6.6,8668529,NA,Africa,Eastern Africa
Namibia,1967,62.3,51.17,6.3,718622,NA,Africa,Southern Africa
Nepal,1967,191.3,43.05,5.99,11307139,1604650135,Asia,Southern Asia
Netherlands,1967,13.8,73.79,2.81,12525253,138972291807,Europe,Western Europe
New Caledonia,1967,NA,60.77,5.26,96068,704310392.2,Oceania,Melanesia
New Zealand,1967,17.9,71.54,3,2704205,NA,Oceania,Australia and New Zealand
Nicaragua,1967,123.1,56.6,6.96,2189880,2861636460,Americas,Central America
Niger,1967,133.1,37.73,7.3,4144238,1374389541,Africa,Western Africa
Nigeria,1967,182.6,38.31,6.36,52468593,12909821977,Africa,Western Africa
Norway,1967,14.8,74.18,2.8,3784579,52958159581,Europe,Northern Europe
Oman,1967,178.5,50.8,7.28,660117,1203539587,Asia,Western Asia
Pakistan,1967,151.5,52.34,6.6,53594445,13722437560,Asia,Southern Asia
Panama,1967,56.2,65.18,5.47,1393800,3344416101,Americas,Central America
Papua New Guinea,1967,109.5,43.92,6.23,2258877,1297196227,Oceania,Melanesia
Paraguay,1967,59.3,68.37,6.17,2289579,1710726966,Americas,South America
Peru,1967,111.6,53.03,6.61,12282081,24827773150,Americas,South America
Philippines,1967,58,61.26,6.59,32826602,25527259808,Asia,South-Eastern Asia
Poland,1967,35.7,69.69,2.3,32085011,NA,Europe,Eastern Europe
Portugal,1967,61.7,66.57,3.13,8774391,31962024667,Europe,Southern Europe
Puerto Rico,1967,NA,70.36,3.53,2634348,15357479694,Americas,Caribbean
Qatar,1967,NA,65.95,6.98,86161,NA,Asia,Western Asia
Romania,1967,NA,67.95,3.65,19810623,NA,Europe,Eastern Europe
Russia,1967,NA,69.21,2.01,128165823,NA,Europe,Eastern Europe
Rwanda,1967,124,45.07,8.2,3418313,643206569.4,Africa,Eastern Africa
St. Lucia,1967,NA,61,6.51,99526,NA,Americas,Caribbean
St. Vincent and the Grenadines,1967,NA,63.58,6.49,87736,103075477.2,Americas,Caribbean
Samoa,1967,NA,55.57,7.4,134194,NA,Oceania,Polynesia
Saudi Arabia,1967,NA,52.55,7.26,5196349,NA,Asia,Western Asia
Senegal,1967,124.7,38.74,7.23,3862783,2101592047,Africa,Western Africa
Serbia,1967,NA,67.05,2.44,7942638,NA,Europe,Southern Europe
Seychelles,1967,61.8,63.43,5.92,48911,121173627.5,Africa,Eastern Africa
Sierra Leone,1967,200.8,40.18,6.52,2399667,615145191.1,Africa,Western Africa
Singapore,1967,25.3,66.63,3.82,1960547,6535267252,Asia,South-Eastern Asia
Slovak Republic,1967,NA,71.07,2.58,4442799,NA,Europe,Eastern Europe
Slovenia,1967,NA,69.14,2.33,1643697,NA,Europe,Southern Europe
Solomon Islands,1967,92.8,54.58,6.55,145354,NA,Oceania,Melanesia
